user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
BangTanbombS07,INDIA,"BTS🇮🇳Army..💜
please follow us on insta@ bangtanbombs07
and subscribe to our youtube channel..
BORAHAE💜💜 #BTS #BTSINDIANARMY #BTSARMY",2021-01-11 18:27:11+00:00,22,23,9937,False,2021-11-27 09:21:52+00:00,"BTS 2021 Holiday Collection: Little Wishes Preview Cut - Jung Hoseok 💜

#PermissiontoDance
 #BTSARMY #BTS_Butter   #RM #V #JJK #JHOPE #SUGA #JIN #JIMIN
#TokopediaxBTS #GRAMMYs #BTS #BTSinLA https://t.co/fZcYePqpcN","['PermissiontoDance', 'BTSARMY', 'BTS_Butter']",Twitter for Android,False
Aaron 💌 Karl 💌 Opiana 💌,Philippines,"Avid fan of Ayra Mariano, Sabrina Carpenter, and US shows like #Victorious and #Dynasty! I'm a music awards geek and music lover, too! IG: aaronopiana",2010-12-28 05:22:01+00:00,573,2624,112641,False,2021-11-27 09:20:48+00:00,"#GRAMMYPredictions

Best Immersive Audio Album (64th Grammys 2022): FINE LINE - Harry Styles and/or THE FUTURE BITES - Steven Wilson

#GRAMMYs #grammys2022 https://t.co/tNnVNW8DRo",['GRAMMYPredictions'],Twitter for Android,False
BangTanbombS07,INDIA,"BTS🇮🇳Army..💜
please follow us on insta@ bangtanbombs07
and subscribe to our youtube channel..
BORAHAE💜💜 #BTS #BTSINDIANARMY #BTSARMY",2021-01-11 18:27:11+00:00,22,23,9937,False,2021-11-27 09:20:36+00:00,"BTS 2021 Holiday Collection: Little Wishes Preview Cut - Min Yoongi 💜

#PermissiontoDance
 #BTSARMY #BTS_Butter   #RM #V #JJK #JHOPE #SUGA #JIN #JIMIN
#TokopediaxBTS #GRAMMYs #BTS #BTSinLA https://t.co/A4XvN4sBAA","['PermissiontoDance', 'BTSARMY', 'BTS_Butter']",Twitter for Android,False
BangTanbombS07,INDIA,"BTS🇮🇳Army..💜
please follow us on insta@ bangtanbombs07
and subscribe to our youtube channel..
BORAHAE💜💜 #BTS #BTSINDIANARMY #BTSARMY",2021-01-11 18:27:11+00:00,22,23,9937,False,2021-11-27 09:18:44+00:00,"BTS 2021 Holiday Collection: Little Wishes Preview Cut - Kim Seokjin 💜

#PermissiontoDance
 #BTSARMY #BTS_Butter   #RM #V #JJK #JHOPE #SUGA #JIN #JIMIN
#TokopediaxBTS #GRAMMYs #BTS #BTSinLA https://t.co/z00aX8b7Sw","['PermissiontoDance', 'BTSARMY', 'BTS_Butter']",Twitter for Android,False
BangTanbombS07,INDIA,"BTS🇮🇳Army..💜
please follow us on insta@ bangtanbombs07
and subscribe to our youtube channel..
BORAHAE💜💜 #BTS #BTSINDIANARMY #BTSARMY",2021-01-11 18:27:11+00:00,22,23,9937,False,2021-11-27 09:16:38+00:00,"BTS 2021 Holiday Collection: Little Wishes Preview Cut - Kim Namjoon 💜

#PermissiontoDance
 #BTSARMY #BTS_Butter   #RM #V #JJK #JHOPE #SUGA #JIN #JIMIN
#TokopediaxBTS #GRAMMYs #BTS #BTSinLA https://t.co/mmB8hdj0T0","['PermissiontoDance', 'BTSARMY', 'BTS_Butter']",Twitter for Android,False
Sonny,,🌞,2021-10-27 18:44:43+00:00,1,32,6,False,2021-11-27 09:12:16+00:00,"It's the first time @ABBA is nominated to the #GRAMMYs BUT Do people believe other nominees deserve the award and not a historic group that came back after 40 YEARS to create a masterpiece album? Do it right Grammys! ABBA's songs have a sense, a meaning and will linger in time! https://t.co/6UGcjabrSO",['GRAMMYs'],Twitter for Android,False
TagTally,,"We watch tweets posted at popular @people and @organisations for top hashtags posted by their followers, we ensure your hashtags gets the right attention.",2020-03-01 18:52:51+00:00,32,0,1,False,2021-11-27 09:08:10+00:00,"Most tweeted Hashtags at Harry_Styles:
Today: 
#BRITcertified - 2804
#LoveOnTour - 1618
#BRITCertified - 450
Last 7 days:
#GRAMMYs - 5558
#LoveOnTourLA - 2879
#LoveOnTour - 2608","['BRITcertified', 'LoveOnTour', 'BRITCertified']",tagtally,False
AwardStage,United Kingdom,"Welcome to AwardStage, the leading awards management system. We specialise in providing a tailored, pain-free #awards entry & judging platform.",2015-06-04 08:44:08+00:00,622,1131,5416,False,2021-11-27 09:00:42+00:00,"The 2022 Grammy nominations were revealed earlier this week 🎉 

Catch up on all the details here ⬇️
https://t.co/Ic3P7ulblG via @guardian  
#grammys #nominations #awards #shortlist https://t.co/em8Q33hrtb",,Hootsuite Inc.,False
5FM,South Africa,"Using the power of music to bring SA together
Radio, web, DSTV 805  
WhatsApp: 0825505151",2008-10-18 15:22:23+00:00,1185247,410,10268,True,2021-11-27 08:58:00+00:00,"#5Newz

@Drake has been nominated for Best Rap Album for 'Certified Lover Boy' and Best Rap Performance for 'Way Too Sexy' at the #GRAMMYs 🙌

Catch him at number 36 this week on #Top40on5 with @nickarchibaldza 🎶 https://t.co/02mVbXgzoi",['5Newz'],Twitter for Android,False
charan (Taylor's Version),,currently surviving sad boi fall,2021-11-24 02:57:03+00:00,14,70,824,False,2021-11-27 08:54:02+00:00,"The way Taylor will win an AOTY in #GRAMMYs regardless of who wins, sour or evermore",['GRAMMYs'],Twitter Web App,False
sarai🧣🪐,,"she/her, 29, Alaska, returning from Saturn and coming back stronger than a 90s trend ✨",2019-08-07 09:13:35+00:00,1315,1579,7136,False,2021-11-27 08:50:46+00:00,✨Manifesting  #evermore #GRAMMYs @taylorswift13 @taylornation13 https://t.co/yBXcJQyj0s,"['evermore', 'GRAMMYs']",Twitter for iPhone,False
🌊F A D E R R🏝️,,"#1☝🏽 Hip Hop Fan 🎤
🎛️🎺Musicophile🎸🎹 🎼
🇿🇦☥🤴🏽Conscious Non-Delusional Nigga✊🏽

IG:ZiphoFaderr",2019-12-27 09:20:27+00:00,43,140,521,False,2021-11-27 08:48:56+00:00,"#WhatIf Killmonger had all the six infinity stones

Our people people will win all the #GRAMMYs ✊🏽","['WhatIf', 'GRAMMYs']",Twitter for Android,False
5FM,South Africa,"Using the power of music to bring SA together
Radio, web, DSTV 805  
WhatsApp: 0825505151",2008-10-18 15:22:23+00:00,1185247,410,10268,True,2021-11-27 08:45:24+00:00,"#5Newz

It's been a great week for @marshmellomusic 🙌 Not only did he win Favourite Dance/ Electronic Artist at the #AMAs he's also been nominated for Best Dance/ Electronic Album at the #GRAMMYs 🥳

He's at number 38 this week on #Top40on5 with @nickarchibaldza https://t.co/ME12SX8JQN",['5Newz'],Twitter for Android,False
5FM,South Africa,"Using the power of music to bring SA together
Radio, web, DSTV 805  
WhatsApp: 0825505151",2008-10-18 15:22:23+00:00,1185247,410,10268,True,2021-11-27 08:41:06+00:00,"#5Newz

@BTS_twt have been nominated for Best Pop Duo/ Group at the #GRAMMYs 🎶 

Catch BTS at number 40 this week on #Top40on5 with @nickarchibaldza https://t.co/SEzbiukUiO","['5Newz', 'GRAMMYs']",Twitter for Android,False
AI5W,"Bakersfield, CA",No need to say please or thank you You're welcome #Studio312 #ARTPRESS #postscript #AI5W,2021-07-12 19:24:19+00:00,10,25,50,False,2021-11-27 08:36:01+00:00,"Stay with me and I'll stay with you 
#AI5W #80sstyle #80smusic #art #GRAMMYs 
#ad #ARTPRESS #postscript #SOL #music #quote #lockdown #Now #COVID19 #Help #covidvariant #Studio312 https://t.co/nA1dP8xcpN","['AI5W', '80sstyle', '80smusic', 'art', 'GRAMMYs', 'ad', 'ARTPRESS', 'postscript', 'SOL', 'music']",Twitter for Android,False
Russell Mucki,"Kampala, Uganda","Am a singer, multi instrumentalist and I love GOD plus subscribe to get my music here’s a link to my https://t.co/0buzTZ6LK4",2021-05-18 09:03:33+00:00,652,576,140,False,2021-11-27 08:21:21+00:00,Share the love &amp; subscribe to my youtube link in bio linktree #Grammys #Lakers #Tanzania #Airpot #Samson #Afande #HamVsDTB #China #RalfRangnick #BreakingNews https://t.co/fhhhLSikox,"['Grammys', 'Lakers', 'Tanzania', 'Airpot', 'Samson', 'Afande']",Twitter for iPad,False
kayla,"Denver, CO",Temple University Alumna🍒,2015-02-28 00:16:24+00:00,330,266,17294,False,2021-11-27 08:10:00+00:00,the way pipe down or love all didn’t get nominated for a Grammy #GRAMMYs,['GRAMMYs'],Twitter for iPhone,False
METROFM SABC,South Africa,South Africa's number 1 Urban Radio Station broadcasting across South Africa on FM Stereo and also on the DSTV Bouquet Channel 801.,2012-02-07 13:32:14+00:00,2031993,41,2438,True,2021-11-27 08:00:53+00:00,We celebrate all the African artists who landed nominations for the #Grammys. #AfricaBoomBoxx #MetroFMTop40 https://t.co/FMsb1q3l9w,"['Grammys', 'AfricaBoomBoxx', 'MetroFMTop40']",Hootsuite Inc.,False
Xargers' MIDTERMS ARE OVER,#BritneyIsFree | he/him | 19,"Stan account = @Xargers_
@DFB_Team, @FCBayern, and @VfLBochum1848eV.
not in that order tho
@albina_music my QUEEN liked x8
Kylie Minogue, Albina, Britney Spears",2021-11-10 20:47:35+00:00,48,241,3597,False,2021-11-27 07:57:56+00:00,Even the #GRAMMYs have more diversity and credibility than the #BallonDor.,"['GRAMMYs', 'BallonDor']",Twitter for Android,False
måria❤️‍🩹,f**k the patriarchy ✊🏼,"she/her || 17 ♉ 🇬🇷
@patatearrapate 🏳‍🌈",2021-04-15 21:16:08+00:00,158,181,2029,False,2021-11-27 07:51:02+00:00,@RecordingAcad @thisismaneskin Glam-pop? You misunderstand the assignment #GRAMMYs https://t.co/Owht4K75to,['GRAMMYs'],Twitter for Android,False
Tunicia Phillips,"Johannesburg, South Africa",M&G - Environment/Business. TV Field Producer. Director @EldosFm_876. Award Winning Reporter🥇News Anchor. Facilitator & Speaker,2011-05-31 12:23:28+00:00,3162,5003,9010,False,2021-11-27 07:33:29+00:00,#np Here we are again - Lazarusman (Nutty Nys remix) #GRAMMYs https://t.co/NFsmQDpjVw,"['np', 'GRAMMYs']",Twitter for iPhone,False
Andy Beebe,Chicago,"Sports, Hard/Classic ROCK Fan. 🎸🥁🎤🎧 💿 🇺🇲 Cubs, Bulls, Bears & NASCAR.  ⚾🏀🏈🏁  100% Vaccinated & Boosted.  Proud Uncle. Tweet Responsibly.",2010-03-03 04:03:36+00:00,209,1240,1029,False,2021-11-27 07:23:11+00:00,"""Spin The Black Circle"" ('94)...Leaving w/@PearlJam from 'Vitalogy"".  Please stay safe.  Always a pleasure, Twitter Nation.  Good night everybody. 🎸🥁🎧🎤🇺🇸🏆💿🙏🏻🌙💤🛌🏻 #ClassicRock #90s #AlternativeRock #Grunge #HardRock #Grammys #ClassicAlbums https://t.co/kFvBu0ORpu",,Twitter Web App,False
The Sauce,"Nairobi, Kenya","Your plug for the latest entertainment news, academic and career updates, and all things urban for Kenya's millennial youth. #TheSauceKe",2012-04-10 14:35:05+00:00,9149,843,923,False,2021-11-27 07:15:00+00:00,Nominations for the 64th edition of the #GRAMMYs we're announced and Kenyan starts haven't been left out! #TheSauceKe #Entertainment  https://t.co/7qwHNkXjdD,['GRAMMYs'],Twitter Web App,False
BINGED,,India’s First and #1 Multi-Lingual #OTT Content Analysis Website for Binge Watchers. For Collabs Contact: Kalyan@Binged.com,2019-02-22 19:22:00+00:00,79110,25,163,True,2021-11-27 07:06:23+00:00,"Whoa!

This is BIG 👏

#SalimSulaiman nominated for the #GRAMMYs for their album- Divine Tides

They've performed, produced &amp; co-written it with rock-legend Stewart Copeland (The Police) &amp; Ricky Kej

Congratulations @salim_merchant &amp; @Sulaiman 🤗

You've made the country proud🥳 https://t.co/QKAbcvMvPF","['SalimSulaiman', 'GRAMMYs']",Twitter for Android,False
Tolulope,,We Don't Give Up Around Here❕❕🤞,2021-08-08 20:54:46+00:00,67,67,1226,False,2021-11-27 06:54:41+00:00,#love how #nigerians been gettin' to that #GRAMMYs lately!🙂,"['love', 'nigerians', 'GRAMMYs']",Twitter for Android,False
Ani Bebé,,El amor concede a los demás el poder para destruirte ♡,2016-11-21 02:09:05+00:00,10,60,113,False,2021-11-27 06:52:34+00:00,"Impaciente @BTS_twt
We are purple 💜 
QUE HERMOSO #BTSARMY
#PTD_ON_STAGE_LA
#GRAMMYs https://t.co/dTpme3OsE0","['BTSARMY', 'PTD_ON_STAGE_LA', 'GRAMMYs']",Twitter for Android,False
Cindy 신디 💟 🅑🅣🅢⁷,"Bangtan, California",A-YO!! OT⁷ stan who 💜s #BTS 🇰🇷▪️#BTSArmy▪️#KPOP 🚫Toxic Fans ❌ Solo Stans ❌ Shippers🚫,2021-03-26 12:51:23+00:00,33,365,1306,False,2021-11-27 06:40:48+00:00,WTF? #GRAMMYs made last minute additions to the 2022 nominations list &amp; none were for #BTS! #SCAMMY af! https://t.co/YQBIeLEyYz,"['GRAMMYs', 'BTS', 'SCAMMY']",Twitter for iPhone,False
Bmoreblogtalk,,Remy Ma The Godmother out now,2021-10-07 07:30:51+00:00,41,340,1698,False,2021-11-27 06:34:30+00:00,megan thee stallion trending normani Quavo NBA Youngboy lil nas x #RemyMa #WendyWilliams #GRAMMYs #babykeem https://t.co/UBmtSbnQHc,"['RemyMa', 'WendyWilliams', 'GRAMMYs', 'babykeem']",Twitter for Android,False
Sinf E Aahan,"Islamabad, Pakistan","🤔Thinking Out Loud Here. 👩🏻‍🎓NDU, PU, USIP, GCSP, PubG r more than abbreviations to me 🇵🇰🇵🇸 - Peace Zone ♥️ #SinfeAahan 📺",2014-06-02 23:30:54+00:00,2050,489,16949,False,2021-11-27 06:33:57+00:00,"Let’s Groove!
“Mohabbat” by singer @Arooj_aftab who has bagged two nominations for 2022 #GrammyAwards is an outstanding version/remake.
Amazing and Mesmerising Voice..!

#GRAMMYs #GossipGirl #DontLookUp #AllTooWell #MUSICFAIR https://t.co/zOeY2AfOhD",['GrammyAwards'],Twitter for iPhone,False
Kola Muhammed,,Academia. Journalism. Content. Critique. Music. Author of AfroDives newsletter.,2011-08-03 18:57:45+00:00,490,590,8534,False,2021-11-27 06:32:36+00:00,"For this week's issue of #AfroDives, I looked at how the #GRAMMYs has become a bragging right among the industry's biggest boys with Davido running risk of being left behind by his peers.

https://t.co/VcJhCZ94Y2

Read, share and subscribe.

#Afrobeats #Essence","['AfroDives', 'GRAMMYs']",Twitter for iPhone,False
Qassini Concepts,"Nakuru, Kenya","™Digital Creator|💎Official Twitter Handle of Qassini Concepts®|📌
Graphic design|🎶Music|⭐Movies|✨Motivation|•°
↪️Follow @Qassini_Q on IG and Facebook",2020-08-20 10:19:36+00:00,2225,2101,803,False,2021-11-27 06:30:00+00:00,"Best New Artist:

Arooj Aftab
Jimmie Allen
Baby Keem
FINNEAS
Glass Animals
Japanese Breakfast
The Kid Laroi
Arlo Parks
Olivia Rodrigo
Saweetie
#GRAMMYs 
#GrammyAwards https://t.co/6LTqpPvE4y",,TweetDeck,False
PEͥLAͣHͫ,Lagos Nigeria,Trying to put me in a category is a mistake. I'm everything🙌  :WhatsApp09080373277,2019-09-07 15:43:17+00:00,266,395,1649,False,2021-11-27 06:11:21+00:00,@RecordingAcad #GRAMMYs  Wizkid Still #the #World #best https://t.co/hDs7rt9IZq,"['GRAMMYs', 'the', 'World', 'best']",Twitter for Android,False
♡ aco ♡,,💚 animal lover 💚,2021-07-28 23:06:36+00:00,63,195,3719,False,2021-11-27 05:59:55+00:00,"@recordingacad maybe there's still time for you to do the right thing right ?! 😌✊

#mileycyrus #grammys https://t.co/czvY0DlLps","['mileycyrus', 'grammys']",Twitter for Android,False
Sarah Khan,Pakistan,🇵🇰 ✨,2019-03-02 23:20:02+00:00,1042,3888,39536,False,2021-11-27 05:54:15+00:00,"Congratulations and best wishes to @arooj_aftab! She's the first Pakistani 🇵🇰 singer nominated for 'Best Global Music performance' and 'Best New Artist'... 
The 64th #GRAMMYs  nominations - @RecordingAcad https://t.co/GQw35knPlC",,Twitter for Android,False
♡ aco ♡,,💚 animal lover 💚,2021-07-28 23:06:36+00:00,63,195,3719,False,2021-11-27 05:53:48+00:00,"✊ justice ✊ for ✊ miley ✊

#mileycyrus #grammys https://t.co/mdq4On89iF","['mileycyrus', 'grammys']",Twitter for Android,False
audrey,,,2020-04-30 03:11:18+00:00,10,27,5,False,2021-11-27 05:53:16+00:00,Thank you @KeshaRose and @pitbull for changing my life with this song. Forever grateful🥺❤️🙏🙏 hope this one wins the Grammys‼️#newmusic #GRAMMYs #beentheredonethat https://t.co/bR0kRdFkP6,,Twitter for iPhone,False
Bmoreblogtalk,,Remy Ma The Godmother out now,2021-10-07 07:30:51+00:00,41,340,1698,False,2021-11-27 05:49:43+00:00,megan thee stallion trending normani Quavo NBA Youngboy lil nas x #RemyMa #WendyWilliams #GRAMMYs #babykeem https://t.co/M0ijKSlAIr,"['RemyMa', 'WendyWilliams', 'GRAMMYs', 'babykeem']",Twitter for Android,False
Joshua Andrews,"Chesapeake, VA",• Jesus is #1 🙌🏻 • TCC 🌊 • Food Lion 💸 • Godfather 9/6/18 👶🏻 • Reba • Taylor • Carrie • #BidenHarris2020🇺🇸,2010-09-19 03:40:06+00:00,775,799,34516,False,2021-11-27 05:48:15+00:00,HER BEST ALBUM AND ONE OF THE BIGGEST #GRAMMYs SNUBS THIS YEAR https://t.co/otDC0D0e0A https://t.co/B9q244mQfz,['GRAMMYs'],Twitter for iPhone,False
Brook Taylor,,"Cars, Music, Politics & My Kids. 7th Employee at @VinFastUS. Fmr @MercedesBenz @MobilityDaimler @JerryBrownGov @CAGoBiz @Schwarzenegger",2010-08-10 16:55:13+00:00,1129,1278,3864,False,2021-11-27 05:43:19+00:00,"Without a doubt, @JColeNC dropped the best Hip-Hop album of the year. The #GRAMMYs finally got one right. #Bestof2021 https://t.co/kuTkIuRTmi",['GRAMMYs'],Twitter for iPhone,False
Kath,"Brooklyn Heights, NY","Good coffee ☕️, good energy 🌈, & anything Obama. I believe in science 😷, the heartbreak of sports 🎾 🏀, & pineapple lifesavers.",2009-03-02 14:06:37+00:00,1258,1707,101782,False,2021-11-27 05:39:05+00:00,This is a category in which I wish they all could win.  #grammys https://t.co/reyIoZjIVq,['grammys'],Twitter for iPhone,False
fordyyy (Taylor's Version) 🧣,Dive Bar To The East Side,"You deserve to own the art you make. - Taylor Swift
#IStandWithTaylor

Taylor Swift x Olivia Rodrigo",2018-07-12 14:17:51+00:00,584,696,92478,False,2021-11-27 05:24:40+00:00,@PopCrave @MileyCyrus This album deserve a #GRAMMYs,['GRAMMYs'],Twitter for Android,False
Bmoreblogtalk,,Remy Ma The Godmother out now,2021-10-07 07:30:51+00:00,41,340,1698,False,2021-11-27 05:21:06+00:00,megan thee stallion trending normani Quavo NBA Youngboy lil nas x #RemyMa #WendyWilliams #GRAMMYs #babykeem https://t.co/ZBj5AkMusB,"['RemyMa', 'WendyWilliams', 'GRAMMYs', 'babykeem']",Twitter for Android,False
Muhammad khizer,"Karachi, Pakistan","Proud to be a #Belieber 😇
I'll Always Love you & Support #JustinBieber ❤️
Fan Account",2020-08-25 06:04:24+00:00,590,88,18860,False,2021-11-27 05:15:48+00:00,How won Justin Bieber Grammy Award _ Vote for Everyone #GRAMMYs Justin Bieber Bieber,['GRAMMYs'],Twitter for Android,False
Gramps Morgan,JAMAICA/NASHVILLE,3X Grammy Award-Winning Artist. New album Positive Vibration out now: https://t.co/r14iCk56IP,2009-04-20 16:53:27+00:00,41147,2189,35931,True,2021-11-27 05:15:48+00:00,TUNE IN TMRRW MORNING FROM TORONTO CANADA LIVE WITH @1TanyaMullings TALKING ABOUT MY NEW SOLO ALBUM POSITIVE VIBRATION 10AM EST @strutent @dadasonent #GRAMMYs https://t.co/aRU6Jg25W1,,Twitter for iPhone,False
Muhammad khizer,"Karachi, Pakistan","Proud to be a #Belieber 😇
I'll Always Love you & Support #JustinBieber ❤️
Fan Account",2020-08-25 06:04:24+00:00,590,88,18860,False,2021-11-27 05:13:17+00:00,Justin Bieber has been 8 nominate #GRAMMYs Award 👍 #KingOfPop https://t.co/N8sibanZUC,"['GRAMMYs', 'KingOfPop']",Twitter for Android,False
The Divine Love ☆,,"fan account♥️

I'm extremely proud to call Justin my idol...My love for him is endless and I'll always be there to support him through thick and thin.",2015-12-06 21:08:48+00:00,17711,16636,122,False,2021-11-27 05:10:38+00:00,"With 8 total nominations, @justinbieber's ""Justice"" was the most nominated project at the 2022' #GRAMMYs https://t.co/RoRhsM2kfq",['GRAMMYs'],Twitter for Android,False
Bmoreblogtalk,,Remy Ma The Godmother out now,2021-10-07 07:30:51+00:00,41,340,1698,False,2021-11-27 05:03:20+00:00,megan thee stallion trending normani Quavo NBA Youngboy lil nas x #RemyMa #WendyWilliams #GRAMMYs #babykeem https://t.co/ZvgY8qstKd,"['RemyMa', 'WendyWilliams', 'GRAMMYs', 'babykeem']",Twitter for Android,False
✨Pop Culture Facts✨,,"Owner: @readyplayeralex (fan account); Pop culture facts. Video games, movies, tv shows, music.",2016-07-13 03:06:29+00:00,468,70,85,False,2021-11-27 05:01:01+00:00,"Most “Best Pop Vocal Album” nominations at the Grammys in the 2020s so far:
(2) Taylor Swift
(2) Ariana Grande
(2) Justin Bieber
(2) Billie Eilish

#Grammys",,Twitter for iPhone,False
XGBankz,#XGTheRevolutionAlbumX.T.R.A.,"★Have a Beautiful Day, Bankers💰
★@XGCashOut1
@XGBankz
★Bookings, Endorsements,Management 
★+2348102951814
★+2349090882172
★Massively Repost Worldwide!!!",2020-10-30 19:00:06+00:00,4,2,14,False,2021-11-27 04:54:41+00:00,"@renoomokri The Grammys ought to be culturally inclusive. An Ethnic bias is not the same as Genuine African Music.
Any Flavour,PSquare,Omah, Cynthia,Faze &amp; Tuface? #Grammy #GrammyNominations #GRAMMYs #Nigerians #Africans @RecordingAcad @sonymusic @AtlanticRecords  @warnerrecords",,Twitter for Android,False
What Do We Do?,,Stream ‘What Do We Do?’ $derickauguste,2015-01-25 00:02:21+00:00,202,554,19144,False,2021-11-27 04:48:28+00:00,"This deserves a lot more attention and love. They did a great job, and this should’ve been nominated #grammys https://t.co/N90v5gwitv",['grammys'],Twitter for iPhone,False
bRs,,💜💜,2020-05-15 07:53:37+00:00,0,44,37,False,2021-11-27 04:47:25+00:00,"no ONE will watch grammys, do you all hear me? we are NOT gonna make the same mistake like last year.they know damn well that 99% of their viewers are armys

#BTS
#GRAMMYs #BTS_twt  #PTD_ON_STAGE_LA #btsareamazing #BTSinLA #BTSV #BTSJUNGKOOK #BTSCONCERT  #BTSdiWIBKpopAwards",,Twitter for Android,False
